forgery_score_heuristic,utr_valid,utr_length,ela_tamper_regions,font_consistent,color_authentic,ocr_confidence,app_detected_encoded,label
0.0013365402135911142,1.0,12.0,0.09384137438581441,1.0,1.0,0.8244445358166841,0.0,0
0.016154169961021536,1.0,12.0,0.004263320928703274,1.0,1.0,0.8114225702950422,0.0,0
0.22060409210183468,1.0,12.0,0.08036035354415352,1.0,1.0,0.8515620320729914,0.0,0
0.18397615329900058,1.0,12.0,0.08481280954668835,1.0,1.0,0.7368330668988126,2.0,0
0.7109912334575098,0.0,0.0,0.7758795622157245,1.0,1.0,0.6118252120885497,3.0,1
0.5418056459969258,0.0,8.0,0.38965690060257485,0.0,0.0,0.3557488250739834,3.0,1
0.701705837199452,1.0,12.0,0.4926968858628141,0.0,1.0,0.3523369856270761,0.0,1
0.09691839868759855,1.0,12.0,0.0402327124686556,1.0,1.0,0.9622787411830713,0.0,0
0.8561869906626544,0.0,12.0,0.7366470237150741,0.0,1.0,0.5844161276992728,3.0,1
0.20661615237304573,1.0,12.0,0.055768869118545276,1.0,1.0,0.7163830909640406,0.0,0
0.05408100575913838,1.0,12.0,0.05182603666763922,1.0,1.0,0.8791822217291023,0.0,0
0.007236079185841765,1.0,12.0,0.023964578495755662,1.0,1.0,0.7097167413327985,0.0,0
0.6513575343624514,0.0,11.0,0.7389656036422768,1.0,1.0,0.20833905511745,0.0,1
0.6049042664104262,0.0,10.0,0.7904254922655861,1.0,1.0,0.23145131534957647,3.0,1
0.23155130047108627,1.0,12.0,0.08713152472468536,1.0,1.0,0.9355250971719271,0.0,0
0.5607656500641087,0.0,10.0,0.15995188130748852,0.0,0.0,0.382888343450962,3.0,1
0.10189605214345424,1.0,12.0,0.08275189221063031,1.0,1.0,0.9293583383964152,2.0,0
0.8887322722119981,0.0,0.0,0.1666263390768593,0.0,0.0,0.5199183365365475,2.0,1
0.09753005867208481,1.0,12.0,0.03551316477538126,1.0,1.0,0.7135747567056663,2.0,0
0.701578069372752,1.0,11.0,0.15934241865555546,1.0,0.0,0.35375355821830434,3.0,1
0.10806019597312808,1.0,12.0,0.08401215027412189,1.0,1.0,0.817645363433559,2.0,0
0.04120616883669051,1.0,12.0,0.017058191155709,1.0,1.0,0.9844324960514327,1.0,0
0.014040502475828276,1.0,12.0,0.025563909379536155,1.0,1.0,0.8582690946998259,0.0,0
0.02765089971829021,1.0,12.0,0.003559023080647639,1.0,1.0,0.9982990908057144,1.0,0
0.9978703030600535,0.0,8.0,0.6851758600149912,0.0,0.0,0.5668428699045425,0.0,1
0.534555029890739,1.0,12.0,0.514111732118783,1.0,0.0,0.6117184714831772,1.0,1
0.13724511236041045,1.0,12.0,0.021927396192387573,1.0,1.0,0.7101007534641618,2.0,0
0.23607590873945747,1.0,12.0,0.010219361969371898,1.0,1.0,0.9562629323384697,2.0,0
0.8278101014402675,1.0,0.0,0.25182079593636175,0.0,0.0,0.3517489594596017,0.0,1
0.21503170410448094,1.0,12.0,0.04574320977737073,1.0,1.0,0.817350929824114,2.0,0
0.08570974120136268,1.0,12.0,0.011148768783878195,1.0,1.0,0.8711228474210925,1.0,0
0.13331284981977562,1.0,12.0,0.06367617170443272,1.0,1.0,0.9244698493995688,0.0,0
0.14927394254667994,1.0,12.0,0.059480321467778964,1.0,1.0,0.8116601175475657,2.0,0
0.22705712217508073,1.0,12.0,0.07587153211639208,1.0,1.0,0.8791465917970905,1.0,0
0.1544828899615745,1.0,12.0,0.03418472854980921,1.0,1.0,0.9621624866563054,2.0,0
0.08720513349236983,1.0,12.0,0.011099809879131485,1.0,1.0,0.9424705630027667,0.0,0
0.8674563660290622,0.0,8.0,0.1767917298686047,0.0,1.0,0.47167702289080893,3.0,1
0.7621514725949234,0.0,12.0,0.7692373632243993,0.0,0.0,0.6371823605618627,1.0,1
0.14091499275719055,1.0,12.0,0.04506864749389131,1.0,1.0,0.901616811625676,1.0,0
